d,v
2009-04-01,10.5
2009-04-03,10.5
2009-04-06,10.5
2009-04-07,10.5
2009-04-08,10.5
2009-04-13,10.5
2009-04-14,10.5
2009-04-15,10.5
2009-04-16,10.5
2009-04-17,10.5
2009-04-20,10.5
2009-04-21,10.5
2009-04-22,10.5
2009-04-23,10.5
2009-04-24,10.5
2009-04-27,10.5
2009-04-28,10.5
2009-04-29,10.5
2009-04-30,10.5
2009-05-04,10.5
2009-05-05,10.5
2009-05-06,10.5
2009-05-07,10.5
2009-05-08,10.5
2009-05-11,10.5
2009-05-12,10.5
2009-05-13,10.5
2009-05-14,10.5
2009-05-15,10.5
2009-05-18,10.5
2009-05-19,10.5
2009-05-20,10.5
2009-05-21,10.5
2009-05-22,10.5
2009-05-26,10.5
2009-05-27,10.5
2009-05-28,10.5
2009-05-29,10.5
2009-06-01,10.5
2009-06-02,10.5
2009-06-03,10.5
2009-06-04,10.5
2009-06-05,10.5
2009-06-08,10.5
2009-06-09,10.5
2009-06-10,10.5
2009-06-11,10.5
2009-06-12,10.5
2009-06-16,10.5
2009-06-17,10.5
2009-06-18,10.5
2009-06-19,10.5
2009-06-22,10.5
2009-06-23,10.5
2009-06-24,10.5
2009-06-25,10.5
2009-06-26,10.5
2009-06-29,10.5
2009-06-30,10.5
2009-07-01,10.5
2009-07-02,10.5
2009-07-03,10.5
2009-07-06,10.5
2009-07-07,10.0
2009-07-08,10.0
2009-07-13,10.0
2009-07-14,10.0
2009-07-15,10.0
2009-07-16,10.0
2009-07-17,10.0
2009-07-20,10.0
2009-07-21,10.0
2009-07-22,10.0
2009-07-23,10.0
2009-07-24,10.0
2009-07-27,10.0
2009-07-28,10.0
2009-07-29,10.0
2009-07-30,10.0
2009-07-31,10.0
2009-08-03,10.0
2009-08-04,10.0
2009-08-05,10.0
2009-08-06,10.0
2009-08-07,10.0
2009-08-10,9.5
2009-08-11,9.5
2009-08-12,9.5
2009-08-13,9.5
2009-08-14,9.5
2009-08-18,9.5
2009-08-19,9.5
2009-08-20,9.5
2009-08-21,9.5
2009-08-24,9.5
2009-08-25,9.5
2009-08-26,9.5
2009-08-27,9.5
2009-08-28,9.5
2009-08-31,9.5
2009-09-01,9.5
2009-09-02,9.5
2009-09-03,9.5
2009-09-04,9.5
2009-09-07,9.5
2009-09-08,9.5
2009-09-09,9.5
2009-09-10,9.5
2009-09-11,9.5
2009-09-14,9.5
2009-09-15,9.5
2009-09-16,9.5
2009-09-17,9.5
2009-09-18,9.5
2009-09-21,9.25
2009-09-22,9.25
2009-09-23,9.25
2009-09-24,9.25
2009-09-25,9.25
2009-09-28,9.25
2009-09-29,9.25
2009-09-30,9.25
2009-10-01,9.25
2009-10-02,9.25
2009-10-05,9.25
2009-10-06,9.25
2009-10-07,9.25
2009-10-08,9.25
2009-10-09,9.25
2009-10-13,9.25
2009-10-14,9.25
2009-10-15,9.25
2009-10-16,9.25
2009-10-19,9.25
2009-10-20,9.25
2009-10-21,9.0
2009-10-22,9.0
2009-10-23,9.0
2009-10-26,9.0
2009-10-27,9.0
2009-10-28,9.0
2009-10-29,9.0
2009-10-30,9.0
2009-11-02,9.0
2009-11-03,9.0
2009-11-04,9.0
2009-11-05,9.0
2009-11-09,9.0
2009-11-10,9.0
2009-11-11,9.0
2009-11-12,9.0
2009-11-13,9.0
2009-11-16,9.0
2009-11-17,9.0
2009-11-18,9.0
2009-11-19,9.0
2009-11-20,9.0
2009-11-23,9.0
2009-11-24,9.0
2009-11-25,9.0
2009-11-26,9.0
2009-11-27,9.0
2009-11-30,9.0
2009-12-01,9.0
2009-12-02,9.0
2009-12-03,9.0
2009-12-04,9.0
2009-12-07,9.0
2009-12-09,9.0
2009-12-10,9.0
2009-12-11,9.0
2009-12-14,9.0
2009-12-15,9.0
2009-12-16,9.0
2009-12-17,9.0
2009-12-18,9.0
2009-12-21,9.0
2009-12-22,9.0
2009-12-23,9.0
2009-12-24,9.0
2009-12-28,9.0
2009-12-29,9.0
2009-12-30,9.0
2009-12-31,9.0
2010-01-04,9.0
2010-01-05,9.0
2010-01-06,9.0
2010-01-07,9.0
2010-01-08,9.0
2010-01-11,9.0
2010-01-12,9.0
2010-01-13,9.0
2010-01-14,9.0
2010-01-15,9.0
2010-01-18,9.0
2010-01-19,9.0
2010-01-20,9.0
2010-01-21,9.0
2010-01-22,9.0
2010-01-25,9.0
2010-01-26,9.0
2010-01-27,9.0
2010-01-28,9.0
2010-01-29,9.0
2010-02-01,9.0
2010-02-02,9.0
2010-02-03,9.0
2010-02-04,9.0
2010-02-05,9.0
2010-02-08,9.0
2010-02-09,9.0
2010-02-10,9.0
2010-02-11,9.0
2010-02-12,9.0
2010-02-15,9.0
2010-02-16,9.0
2010-02-17,9.0
2010-02-18,9.0
2010-02-19,9.0
2010-02-22,9.0
2010-02-23,9.0
2010-02-24,9.0
2010-02-25,9.0
2010-02-26,9.0
2010-03-01,9.0
2010-03-02,9.0
2010-03-03,9.0
2010-03-04,9.0
2010-03-05,9.0
2010-03-08,9.0
2010-03-09,9.0
2010-03-10,9.0
2010-03-11,9.0
2010-03-12,9.0
2010-03-15,9.0
2010-03-16,9.0
2010-03-17,9.0
2010-03-18,9.0
2010-03-19,9.0
2010-03-22,9.0
2010-03-23,9.0
2010-03-25,9.0
2010-03-26,9.0
2010-03-29,9.0
2010-03-30,9.0
2010-03-31,9.0
2010-04-05,9.0
2010-04-06,9.0
2010-04-07,9.0
2010-04-08,9.0
2010-04-09,9.0
2010-04-12,9.0
2010-04-13,9.0
2010-04-14,9.0
2010-04-15,9.0
2010-04-16,9.0
2010-04-19,9.0
2010-04-20,9.0
2010-04-21,9.0
2010-04-22,9.0
2010-04-23,9.0
2010-04-26,9.0
2010-04-27,9.0
2010-04-28,9.0
2010-04-29,9.0
2010-04-30,9.0
2010-05-03,9.0
2010-05-04,9.0
2010-05-05,9.0
2010-05-06,9.0
2010-05-07,9.0
2010-05-10,9.0
2010-05-11,9.0
2010-05-12,9.0
2010-05-13,9.0
2010-05-14,9.0
2010-05-17,9.0
2010-05-18,9.0
2010-05-19,9.0
2010-05-20,9.0
2010-05-21,9.0
2010-05-26,9.0
2010-05-27,9.0
2010-05-28,9.0
2010-05-31,9.0
2010-06-01,9.0
2010-06-02,9.0
2010-06-03,9.0
2010-06-04,9.0
2010-06-07,9.0
2010-06-08,9.0
2010-06-09,9.0
2010-06-10,9.0
2010-06-11,9.0
2010-06-14,9.0
2010-06-15,9.0
2010-06-16,9.0
2010-06-17,9.0
2010-06-18,9.0
2010-06-22,9.0
2010-06-23,9.0
2010-06-24,9.0
2010-06-25,9.0
2010-06-28,9.0
2010-06-29,9.0
2010-06-30,9.0
2010-07-01,9.0
2010-07-02,9.0
2010-07-05,9.0
2010-07-06,9.0
2010-07-07,9.0
2010-07-08,9.0
2010-07-12,9.0
2010-07-13,9.0
2010-07-14,9.0
2010-07-15,9.0
2010-07-16,9.0
2010-07-19,9.0
2010-07-20,9.0
